City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Svay Rieng,KH,2022-01-09 14:08:21,11.0879,105.7993,80.17,57,5,6.38
68,Victoria,HK,2022-01-09 14:04:37,22.2855,114.1577,66.38,81,27,5.01
69,Baherden,TM,2022-01-09 14:08:21,38.4362,57.4316,49.15,55,8,9.6
70,Bredasdorp,ZA,2022-01-09 14:08:21,-34.5322,20.0403,75.27,60,98,18.23
71,Thompson,CA,2022-01-09 14:04:23,55.7435,-97.8558,-22.14,87,34,10.45
72,Porto Novo,BJ,2022-01-09 14:08:22,6.4965,2.6036,94.03,39,11,11.27
73,Hasaki,JP,2022-01-09 14:08:22,35.7333,140.8333,43.2,62,100,19.35
74,Swellendam,ZA,2022-01-09 14:08:22,-34.0226,20.4417,87.3,46,93,13.73
75,Kununurra,AU,2022-01-09 14:08:22,-15.7667,128.7333,82.38,83,0,6.91
76,Kapaa,US,2022-01-09 14:08:23,22.0752,-159.319,66.18,100,20,5.75
77,Tasiilaq,GL,2022-01-09 14:08:23,65.6145,-37.6368,32.16,89,100,47.42
78,Kaitangata,NZ,2022-01-09 14:08:23,-46.2817,169.8464,56.19,97,100,3.06
79,El Tigre,VE,2022-01-09 14:08:23,8.8875,-64.2454,80.28,44,94,11.43
80,Khash,IR,2022-01-09 14:08:24,28.2211,61.2158,48.63,32,0,5.06
81,Cherskiy,RU,2022-01-09 14:08:24,68.75,161.3,-25.55,100,90,2.93
82,Hobart,AU,2022-01-09 14:08:24,-42.8794,147.3294,62.46,73,100,6.91
83,Jamestown,US,2022-01-09 14:06:09,42.097,-79.2353,40.32,69,100,7.0
84,Castro,BR,2022-01-09 14:08:24,-24.7911,-50.0119,66.29,68,100,7.47
85,Ballina,AU,2022-01-09 14:08:25,-28.8667,153.5667,70.95,1,9,5.68
86,Kamenka,RU,2022-01-09 14:08:25,51.3223,42.7678,21.74,86,100,14.63
87,Atar,MR,2022-01-09 14:08:25,20.5169,-13.0499,78.06,9,86,18.16
88,Epernay,FR,2022-01-09 14:08:25,49.05,3.95,42.91,82,100,8.68
89,Solnechnyy,RU,2022-01-09 14:08:26,50.7214,136.6319,-10.62,97,65,3.09
90,Ramshir,IR,2022-01-09 14:08:26,30.8946,49.4092,63.84,39,0,5.99
91,Porbandar,IN,2022-01-09 14:08:26,21.6422,69.6093,68.45,43,0,12.06
92,Clyde River,CA,2022-01-09 14:09:26,70.4692,-68.5914,-17.91,98,100,5.5
93,Lebu,CL,2022-01-09 14:09:27,-37.6167,-73.65,64.65,76,61,11.21
94,Dabat,ET,2022-01-09 14:09:27,12.9842,37.765,58.5,59,100,5.46
